time,step num,fpa,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1775504749.512904,,,1.2849,0.3972,9.9087,0.0467,-0.0617,-0.0189
1775504749.514024,,,1.3017,0.4092,9.9003,0.0451,-0.0678,-0.0160
1775504749.783799,,,1.3603,0.3781,9.8788,0.0429,-0.0672,-0.0148
1775504749.8730528,,,1.3436,0.3541,9.8608,0.0409,-0.0651,-0.0159
1775504749.874681,,,1.2909,0.3936,9.8907,0.0441,-0.0620,-0.0189
1775504749.875057,,,1.2826,0.3948,9.9075,0.0446,-0.0638,-0.0183
1775504749.875094,,,1.3196,0.4175,9.8991,0.0418,-0.0696,-0.0153
1775504749.876201,,,1.3424,0.3984,9.8931,0.0429,-0.0725,-0.0140
1775504749.876409,,,1.3256,0.4630,9.8979,0.0440,-0.0744,-0.0122
1775504749.8779562,,,1.3029,0.4822,9.8871,0.0502,-0.0806,-0.0142
1775504749.878232,,,1.3854,0.5599,9.8465,0.0234,-0.0574,-0.0131
1775504749.878261,,,1.4333,0.5025,9.8835,0.0220,-0.0579,-0.0166
1775504750.0526772,,,1.4536,0.5336,9.9159,0.0160,-0.0513,-0.0131
1775504750.05472,,,1.4189,0.5551,9.8847,0.0082,-0.0423,-0.0151
1775504750.054933,,,1.4249,0.4199,9.8979,0.0029,-0.0376,-0.0139
1775504750.054951,,,1.4022,0.4558,9.8979,0.0197,-0.0470,-0.0217
1775504750.05711,,,1.5266,0.4463,9.7842,0.0209,-0.0447,-0.0292
1775504750.057228,,,1.6618,0.3876,9.6873,0.0241,-0.0295,-0.0348
1775504750.057319,,,1.5769,0.4379,9.7627,0.0316,-0.0128,-0.0400
1775504750.0574248,,,1.5087,0.4810,9.8871,0.0423,0.0087,-0.0571
1775504750.0575092,,,1.4512,0.5288,9.9230,0.0421,0.0176,-0.0606
1775504750.593237,,,1.0002,0.6832,9.9170,0.0386,-0.0101,-0.0764
1775504750.6540318,,,0.9416,0.7669,9.9003,0.0205,-0.0258,-0.0973
1775504750.6828,,,1.3771,0.4642,9.8309,-0.0301,-0.0452,-0.1022
1775504750.684743,,,1.2514,0.3218,9.8381,-0.0322,-0.0467,-0.0512
1775504750.685045,,,1.1641,0.6568,9.9350,-0.0238,-0.0841,0.0124
1775504750.685185,,,1.1390,0.5348,9.9075,-0.0312,-0.0921,0.0150
1775504750.68606,,,1.2239,0.5061,9.8895,-0.0324,-0.1002,0.0183
1775504750.688032,,,1.2682,0.4941,9.8812,-0.0304,-0.1087,0.0223
1775504750.6882281,,,1.3184,0.4140,9.8429,0.0073,-0.0391,-0.0130
1775504750.6882591,,,1.2526,0.3852,9.8991,0.0147,-0.0408,-0.0165
1775504750.743076,,,1.4357,0.4475,9.8536,0.0136,-0.0415,-0.0171
1775504750.7443619,,,1.2323,0.4487,9.9123,0.0058,-0.0406,-0.0153
1775504750.77322,,,1.3089,0.3673,9.8824,0.0026,-0.0408,-0.0150
1775504750.774693,,,1.3364,0.3553,9.8477,0.0040,-0.0388,-0.0156
1775504750.7749949,,,1.3304,0.4439,9.9075,0.0035,-0.0359,-0.0171
1775504750.7750242,,,1.3567,0.4678,9.9051,0.0014,-0.0342,-0.0165
1775504750.9839392,,,1.3507,0.3805,9.8656,-0.0021,-0.0322,-0.0186
1775504750.9848902,,,1.3304,0.4522,9.9123,-0.0009,-0.0301,-0.0194
1775504751.043745,,,1.3137,0.4546,9.9302,-0.0027,-0.0283,-0.0191
1775504751.1034722,,,1.3029,0.3948,9.8716,-0.0043,-0.0295,-0.0189
1775504751.1053922,,,1.2718,0.3900,9.8620,-0.0031,-0.0299,-0.0194
1775504751.1056268,,,1.3292,0.3182,9.8309,0.0017,-0.0289,-0.0214
1775504751.135797,,,1.3077,0.3840,9.8895,0.0015,-0.0325,-0.0203
1775504751.136095,,,1.2586,0.4056,9.8824,0.0018,-0.0338,-0.0194
1775504751.1362529,,,1.2646,0.3900,9.8979,0.0032,-0.0360,-0.0200
1775504751.13645,,,1.2502,0.4056,9.9135,0.0047,-0.0376,-0.0212
1775504751.136619,,,1.2048,0.4187,9.9206,0.0061,-0.0400,-0.0215
1775504751.192863,,,1.3149,0.4175,9.9003,0.0095,-0.0533,-0.0148
1775504751.194221,,,1.2526,0.4175,9.9147,0.0089,-0.0548,-0.0144
1775504751.194413,,,1.2694,0.4295,9.9087,0.0076,-0.0562,-0.0139
1775504751.196141,,,1.2191,0.4271,9.9123,0.0064,-0.0574,-0.0140
1775504751.199445,,,1.2467,0.4451,9.9206,0.0049,-0.0597,-0.0111
1775504751.199701,,,1.3017,0.4008,9.8955,0.0029,-0.0620,-0.0105
1775504751.199757,,,1.3077,0.3649,9.8596,0.0043,-0.0591,-0.0125
1775504751.200032,,,1.2957,0.3960,9.8979,0.0024,-0.0612,-0.0115
1775504751.200149,,,1.2730,0.4319,9.9314,0.0011,-0.0609,-0.0111
1775504751.224159,,,1.2562,0.3984,9.9159,-0.0040,-0.0631,-0.0098
1775504751.2245219,,,1.2754,0.4008,9.9051,-0.0058,-0.0622,-0.0092
1775504751.226496,,,1.2694,0.3912,9.9206,-0.0072,-0.0635,-0.0086
1775504751.2266839,,,1.2598,0.4128,9.9182,-0.0096,-0.0635,-0.0078
1775504751.2267962,,,1.2921,0.3649,9.8704,-0.0121,-0.0654,-0.0061
